country,classification,type,items,blogs,facebook,news,policies,twitter,wikipedia
EE,Life and earth sciences,closed,1298,54,114,22,0,437,42
GL,Life and earth sciences,closed,51,4,9,8,0,24,4
GP,Life and earth sciences,closed,94,2,3,2,1,21,3
GT,Life and earth sciences,closed,38,1,6,0,2,11,2
HU,Life and earth sciences,closed,2477,54,156,40,15,626,53
LK,Life and earth sciences,closed,564,32,46,14,6,158,22
LT,Life and earth sciences,closed,875,8,33,9,3,187,9
LV,Life and earth sciences,closed,329,4,17,4,0,84,15
MC,Life and earth sciences,closed,64,13,10,5,0,30,3
ML,Life and earth sciences,closed,66,3,3,4,3,22,3
MY,Life and earth sciences,closed,5409,72,259,53,20,1025,62
NP,Life and earth sciences,closed,275,13,45,14,5,102,6
NZ,Life and earth sciences,closed,7474,450,720,330,236,2879,268
PH,Life and earth sciences,closed,918,40,113,11,17,265,15
PY,Life and earth sciences,closed,41,1,6,1,1,15,0
SA,Life and earth sciences,closed,3304,58,126,38,22,629,25
SG,Life and earth sciences,closed,2910,127,223,112,23,949,55
SM,Life and earth sciences,closed,8,0,0,0,0,0,0
SR,Life and earth sciences,closed,14,2,2,1,0,4,0
SV,Life and earth sciences,closed,14,3,1,1,1,5,1
TL,Life and earth sciences,closed,4,0,2,0,0,1,0
TM,Life and earth sciences,closed,2,0,0,0,0,0,0
TN,Life and earth sciences,closed,3566,34,163,27,16,726,35
TR,Life and earth sciences,closed,12513,93,376,85,42,1923,77
TT,Life and earth sciences,closed,138,3,9,2,1,33,0
US,Life and earth sciences,closed,167045,11825,19040,10192,2801,70783,4738
ZW,Life and earth sciences,closed,402,15,41,13,4,149,2
AE,Mathematics and computer science,closed,881,1,13,2,1,62,0
AZ,Mathematics and computer science,closed,292,0,2,0,0,3,0
BF,Mathematics and computer science,closed,16,0,0,0,0,2,0
BN,Mathematics and computer science,closed,20,0,0,0,0,2,0
BR,Mathematics and computer science,closed,9070,13,120,18,3,779,24
CZ,Life and earth sciences,closed,7752,233,561,106,29,2445,193
DK,Life and earth sciences,closed,6281,331,564,312,114,2432,143
DM,Life and earth sciences,closed,5,0,0,0,0,2,0
EC,Life and earth sciences,closed,666,27,125,19,5,317,21
ES,Life and earth sciences,closed,30607,1101,2581,1083,327,10558,547
ET,Life and earth sciences,closed,1041,28,43,19,11,269,18
FI,Life and earth sciences,closed,5695,254,582,180,72,2266,84
GA,Life and earth sciences,closed,86,2,5,2,3,39,8
GW,Life and earth sciences,closed,21,2,4,2,1,13,1
IN,Life and earth sciences,closed,43462,705,1728,499,293,8062,467
IQ,Life and earth sciences,closed,675,6,15,3,1,96,2
IS,Life and earth sciences,closed,576,25,50,16,14,195,11
JP,Life and earth sciences,closed,32167,885,1862,630,170,9986,545
LU,Life and earth sciences,closed,269,5,11,3,2,94,10
ME,Life and earth sciences,closed,53,1,2,0,0,12,0
MN,Life and earth sciences,closed,108,2,9,2,3,26,4
MU,Life and earth sciences,closed,104,7,7,5,6,27,4
MW,Life and earth sciences,closed,124,3,6,2,5,33,1
MZ,Life and earth sciences,closed,115,5,11,3,2,39,3
NC,Life and earth sciences,closed,181,9,18,1,13,70,3
NO,Life and earth sciences,closed,6300,294,562,268,80,2232,112
PG,Life and earth sciences,closed,41,0,6,1,3,19,3
PK,Life and earth sciences,closed,4643,58,213,46,28,924,42
RO,Life and earth sciences,closed,1789,42,119,20,4,379,28
SC,Life and earth sciences,closed,35,5,12,3,8,21,0
SY,Life and earth sciences,closed,200,4,10,1,2,33,3
TG,Life and earth sciences,closed,53,1,4,0,1,13,2
TZ,Life and earth sciences,closed,445,12,50,9,13,156,3
UG,Life and earth sciences,closed,388,20,37,14,10,158,7
UZ,Life and earth sciences,closed,131,0,6,0,4,17,1
AL,Mathematics and computer science,closed,28,0,0,0,0,4,0
AM,Mathematics and computer science,closed,169,0,1,1,0,10,0
AO,Mathematics and computer science,closed,3,0,0,0,0,0,1
AR,Mathematics and computer science,closed,1269,3,18,3,1,143,5
BE,Mathematics and computer science,closed,2909,14,42,19,8,365,10
BG,Mathematics and computer science,closed,322,0,2,0,0,16,0
BW,Mathematics and computer science,closed,41,0,1,0,0,3,0
CZ,Mathematics and computer science,closed,2214,8,35,6,3,136,10
DE,Mathematics and computer science,closed,13790,83,288,117,40,1475,89
DO,Mathematics and computer science,closed,3,0,0,0,0,1,0
FR,Mathematics and computer science,closed,11782,39,130,60,28,929,42
GA,Mathematics and computer science,closed,7,0,0,0,0,1,0
GH,Mathematics and computer science,closed,48,0,1,0,0,6,1
HR,Mathematics and computer science,closed,628,0,7,0,0,29,4
ID,Mathematics and computer science,closed,237,1,3,0,0,28,0
IQ,Mathematics and computer science,closed,323,2,4,3,0,22,3
IT,Mathematics and computer science,closed,14741,44,190,49,38,1343,69
JM,Mathematics and computer science,closed,12,0,0,0,0,0,0
