type,timediff,n_items
open,641,2
open,130,271
open,-198,2
open,-58,56
open,541,22
open,90,375
open,-666,1
closed,-131,7
closed,354,69
open,147,271
closed,60,427
closed,100,171
open,-241,8
open,458,41
open,-298,1
open,-141,11
open,-284,6
open,515,61
closed,594,3
closed,86,241
open,375,164
open,-267,1
closed,637,4
closed,186,128
open,-324,10
closed,169,96
open,489,34
open,332,99
closed,620,3
open,292,117
closed,269,70
closed,-183,1
closed,309,108
open,-113,62
closed,-143,2
closed,409,32
open,-533,2
open,206,150
open,166,97
closed,492,12
open,66,577
closed,435,15
open,123,233
open,-65,36
open,83,467
open,180,225
open,591,10
open,40,1445
closed,461,10
open,431,26
closed,501,75
closed,344,46
open,-74,54
closed,-218,6
open,-231,3
closed,287,50
open,-91,28
closed,444,34
closed,-64,21
closed,484,16
open,-131,11
closed,33,1426
closed,387,33
open,-214,1
open,308,130
closed,-47,42
open,365,111
closed,627,2
closed,570,4
open,-300,2
closed,610,1
open,-340,2
open,125,329
open,633,67
closed,496,10
closed,202,121
closed,242,135
open,493,16
open,-283,2
open,590,15
closed,342,64
closed,636,2
closed,128,122
closed,325,96
closed,228,78
open,467,73
open,113,386
open,-15,223
open,73,573
open,-41,155
open,30,2154
closed,0,16599
open,-98,10
open,441,98
closed,-14,238
open,-224,3
closed,83,237
closed,534,14
closed,437,44
open,-124,5
closed,420,21
closed,577,4
open,626,2
open,232,184
open,75,782
open,526,26
closed,-123,5
open,583,6
open,132,254
open,189,229
open,640,3
closed,-166,4
open,600,9
open,500,94
closed,-109,5
open,-22,137
open,557,76
closed,278,53
closed,318,42
closed,261,37
closed,418,80
open,23,2902
open,-499,8
open,80,444
open,-48,140
open,331,109
open,-14,319
open,231,292
closed,270,54
open,191,255
open,542,70
open,-57,83
open,-665,2
closed,353,38
closed,510,67
open,-100,14
closed,2,6267
open,165,217
open,616,6
open,65,651
closed,-56,77
open,-534,4
open,122,168
closed,-450,1
closed,-156,2
open,533,20
closed,-393,1
closed,-99,5
closed,-42,75
closed,68,330
closed,168,108
open,-306,1
closed,-82,39
closed,562,1
closed,-25,130
open,407,139
open,250,104
closed,251,78
open,464,56
closed,351,51
closed,588,7
open,-64,51
closed,220,159
open,-7,1088
open,141,203
closed,360,27
closed,66,314
closed,-234,4
closed,303,43
closed,9,2292
open,-190,1
closed,-23,67
open,-501,2
open,58,651
open,509,38
open,115,315
closed,92,292
closed,-360,1
open,15,5220
open,172,273
open,466,36
open,623,10
closed,35,1381
open,-216,2
closed,486,7
open,-667,2
closed,-106,14
open,294,257
open,-94,32
open,254,69
open,351,110
closed,347,37
open,154,239
open,-602,1
open,-234,11
open,-528,1
open,368,80
closed,290,38
open,-134,4
open,522,22
open,-120,7
closed,-304,3
closed,373,30
open,185,137
closed,630,6
open,-614,4
closed,-347,1
closed,-36,45
open,45,1186
closed,5,3243
closed,516,12
open,-246,7
open,102,445
closed,556,10
closed,48,413
closed,205,55
open,-229,4
open,-680,1
closed,599,9
closed,188,144
open,313,139
closed,542,6
closed,-219,1
closed,288,84
open,370,125
closed,-162,5
open,330,72
open,-312,2
open,-369,3
open,-1,7344
closed,174,168
closed,625,2
closed,214,63
closed,371,60
open,-355,1
open,344,91
closed,157,159
open,-84,48
open,244,270
closed,257,53
open,204,291
open,261,178
closed,340,109
open,121,211
open,629,16
closed,-3,366
open,-70,58
closed,129,129
closed,580,6
closed,-43,66
closed,112,277
open,546,31
open,-661,1
closed,55,413
closed,506,6
open,-96,11
closed,606,8
open,-293,5
open,263,124
open,-419,1
closed,-55,26
closed,592,4
open,477,59
closed,24,1392
open,320,98
open,-830,1
open,-502,4
closed,264,59
closed,421,98
closed,-138,4
open,588,5
open,488,71
open,251,131
closed,230,126
open,151,192
open,-17,202
open,-3,1200
open,462,87
open,479,21
closed,-230,1
closed,513,15
open,-186,1
closed,439,21
open,-537,1
open,-243,2
open,-988,7
closed,-313,2
closed,539,11
closed,31,1937
closed,482,8
open,253,127
closed,522,23
open,564,61
closed,565,3
open,327,146
open,-295,4
closed,-28,43
closed,508,10
open,-195,1
closed,608,4
closed,-579,3
closed,197,65
open,-338,1
open,-238,3
closed,140,175
open,595,15
closed,240,65
closed,-154,7
open,201,110
open,101,437
open,61,725
open,-404,2
open,412,57
closed,463,15
open,-36,117
open,-193,3
closed,249,106
open,329,94
open,486,35
open,-544,1
closed,349,91
open,92,624
open,386,52
open,-687,1
open,-136,60
open,443,86
closed,38,713
open,403,193
open,246,121
open,303,72
open,460,96
open,-119,12
closed,532,51
closed,375,32
closed,-52,40
open,360,47
open,260,124
closed,221,81
open,-613,2
closed,-389,1
closed,-78,24
closed,164,246
open,120,378
closed,204,47
closed,-21,103
closed,147,295
closed,304,45
open,177,133
closed,187,109
open,528,54
open,77,996
open,371,164
closed,581,5
open,428,172
open,-171,10
open,-779,1
open,445,38
open,-311,3
open,51,1085
open,502,29
closed,-227,6
open,-43,104
closed,156,145
closed,313,41
open,305,118
closed,-30,55
open,402,61
closed,296,87
closed,199,68
open,419,67
open,-831,2
closed,396,61
closed,-253,2
closed,322,40
open,-152,6
open,-12,564
open,-463,4
open,193,149
open,447,42
open,604,10
open,-646,1
open,-546,1
closed,408,78
closed,-422,1
closed,548,5
closed,-11,154
open,127,228
open,-221,2
closed,-111,7
open,184,147
closed,-94,6
closed,474,18
open,438,46
closed,23,1322
open,-769,1
open,535,13
closed,-194,1
closed,-37,82
open,495,37
closed,123,151
closed,614,2
closed,517,10
open,552,123
open,-655,1
open,-204,10
closed,557,6
closed,106,273
open,295,96
open,452,32
closed,-277,1
open,-487,1
closed,-63,61
open,-76,53
open,-978,1
closed,346,102
closed,189,165
open,212,99
open,369,272
open,-995,4
closed,-163,2
closed,389,45
closed,232,47
open,-570,24
open,129,296
open,580,9
open,286,190
open,343,146
open,637,5
open,-159,2
closed,415,58
open,-145,19
closed,455,54
open,554,19
open,-202,1
closed,104,189
closed,555,6
open,611,10
closed,-412,1
open,571,23
closed,498,12
closed,87,334
closed,-61,32
closed,538,15
open,-285,1
open,411,61
open,-662,1
open,468,63
open,-562,1
closed,464,13
closed,-27,56
open,328,106
open,171,228
closed,113,218
closed,-70,19
closed,547,21
open,188,202
open,639,1
closed,-13,175
closed,490,8
open,-237,1
closed,-561,1
open,145,153
closed,82,359
open,-220,4
open,613,61
open,162,165
closed,222,59
open,62,824
closed,65,317
closed,-79,27
open,119,415
closed,616,4
open,530,14
open,19,3560
open,176,226
open,-446,1
open,587,15
open,76,804
open,36,2188
closed,248,106
closed,405,15
open,-429,8
open,544,39
closed,348,45
closed,191,75
open,93,332
open,444,59
closed,488,22
closed,-305,6
open,304,70
open,-118,8
closed,274,89
closed,431,36
open,321,167
closed,414,27
open,-301,3
closed,457,8
open,278,190
open,589,19
closed,597,1
closed,500,10
open,195,357
closed,-46,42
open,-427,5
closed,172,79
closed,623,2
closed,-146,1
open,169,260
closed,566,3
closed,272,40
open,126,323
open,-904,3
closed,-269,7
open,-42,187
closed,355,51
open,437,50
open,-479,1
closed,338,30
open,-85,33
open,494,24
open,454,76
open,-168,4
open,32,1899
closed,429,31
open,483,27
closed,175,112
closed,626,2
open,540,35
open,-259,1
closed,569,16
closed,275,42
closed,118,172
closed,-149,1
open,440,33
closed,-132,12
open,-356,5
open,400,47
open,457,25
closed,612,1
open,357,76
open,-242,12
open,-482,2
open,-88,27
open,217,232
closed,-141,6
open,74,503
open,131,428
closed,153,98
open,31,2563
closed,253,70
open,-180,2
open,88,368
open,48,1042
open,342,191
open,-163,3
open,105,445
closed,336,116
open,556,70
open,359,71
closed,-193,3
open,-417,1
open,416,132
open,-206,2
open,473,75
closed,262,40
open,-106,10
closed,-39,128
closed,362,42
closed,519,5
open,-543,1
closed,559,10
closed,-65,16
closed,445,70
open,290,127
open,133,224
closed,602,2
open,-192,2
closed,94,219
open,-1134,1
open,247,242
open,501,20
closed,234,127
open,-358,6
closed,471,42
open,558,83
open,518,31
open,164,147
open,615,4
open,-415,2
closed,571,7
closed,317,43
open,124,364
closed,-191,1
closed,-174,1
closed,260,62
open,475,84
open,632,5
open,532,31
open,81,562
open,-581,1
open,-30,95
open,38,1525
closed,443,17
open,449,99
open,-173,17
closed,-357,1
open,-73,105
closed,426,31
closed,-440,1
open,366,63
closed,526,13
closed,369,35
closed,-400,1
open,-116,9
open,-156,2
closed,469,36
open,323,132
closed,412,33
open,283,183
closed,395,30
closed,552,3
open,634,4
open,-733,1
closed,-15,103
open,-365,1
open,100,316
closed,184,87
closed,27,1826
open,551,13
open,608,14
open,157,300
closed,-1,2624
closed,578,58
closed,332,60
open,-627,1
closed,-189,1
open,-553,1
open,186,152
closed,315,52
open,-62,35
closed,258,93
open,-45,160
open,-653,6
closed,398,35
open,3,14331
open,-228,1
open,-71,90
closed,441,54
open,471,21
open,-54,75
open,-505,13
open,17,3250
closed,13,2383
closed,564,4
open,-137,12
closed,407,71
closed,-127,9
open,-154,6
open,385,82
open,-351,2
closed,507,11
closed,196,86
closed,39,903
open,245,284
open,596,23
closed,-153,6
closed,122,163
open,-263,1
open,-303,5
closed,165,95
open,-92,26
open,627,4
open,430,229
closed,-279,1
open,487,31
open,-586,1
open,-35,138
closed,388,60
closed,291,64
open,-61,47
closed,331,37
open,-669,2
closed,-345,1
open,-529,2
open,461,41
open,-201,1
open,67,669
open,-455,1
open,-4,953
open,-161,2
open,221,118
open,-244,3
open,-144,19
open,238,115
closed,46,650
closed,-77,16
open,335,149
closed,-60,23
closed,400,33
closed,-20,110
open,-327,2
closed,540,4
closed,-103,9
open,95,422
open,252,171
closed,483,19
open,152,390
closed,583,7
open,563,16
open,112,498
open,12,4435
open,463,187
open,620,2
open,577,11
open,-2,1980
open,380,51
open,594,24
closed,141,108
open,143,155
closed,-172,3
closed,-155,1
closed,281,56
open,-522,3
closed,381,95
open,511,29
closed,586,4
open,-273,3
closed,-49,59
closed,529,13
open,-5,1063
closed,61,566
closed,-92,16
closed,512,23
open,46,1162
closed,-232,6
open,300,136
closed,161,160
open,514,22
open,-31,93
closed,144,140
closed,301,92
open,414,38
open,-382,1
closed,284,58
open,57,1008
open,214,175
open,625,6
closed,-84,12
open,114,300
open,-308,2
open,525,72
closed,310,101
closed,604,6
closed,-324,1
closed,293,100
open,539,18
open,-40,79
closed,-307,1
closed,393,38
open,499,36
closed,236,69
open,-531,5
open,5,10180
open,-123,9
open,456,44
closed,25,1380
open,373,62
open,-149,3
open,233,96
closed,502,34
closed,-165,2
closed,545,8
open,-232,3
open,-21,199
closed,134,252
open,150,124
closed,77,477
open,207,200
closed,-51,51
closed,528,7
open,-372,2
closed,-148,1
open,107,303
open,264,218
open,-966,1
closed,628,1
closed,120,227
closed,-231,16
closed,-34,34
closed,160,154
open,575,5
closed,-134,4
closed,300,41
open,-47,86
open,-498,1
open,492,83
open,138,164
open,-484,6
open,549,24
closed,-317,1
open,-541,1
open,-16,192
open,606,3
closed,386,29
open,506,33
open,-975,1
closed,312,99
closed,-32,55
closed,509,15
closed,-326,1
open,-142,8
open,-650,2
open,-125,8
open,-322,4
open,240,77
closed,84,332
closed,635,1
closed,-58,35
open,257,180
open,-225,6
closed,-452,12
closed,289,33
open,229,200
open,-19,268
open,-102,15
closed,372,128
closed,-346,6
closed,21,2689
open,146,261
closed,472,28
open,597,12
open,243,95
open,497,39
closed,4,3650
closed,-35,24
open,-185,1
closed,-18,120
closed,358,120
open,103,391
closed,-272,1
open,160,317
closed,341,59
closed,47,486
open,-679,7
open,60,658
open,20,3452
open,-128,19
closed,324,28
closed,481,52
open,-251,1
closed,424,13
open,-111,22
open,271,129
open,-294,7
open,228,147
closed,56,496
closed,96,177
closed,450,7
open,285,167
closed,-110,8
open,302,183
closed,139,188
closed,433,86
closed,179,61
closed,-53,40
open,202,152
closed,533,7
closed,279,53
closed,-447,1
closed,-136,2
open,219,222
open,513,78
closed,-96,3
open,-9,670
open,570,30
open,276,265
closed,305,31
closed,-122,7
open,-503,6
open,-135,8
closed,-222,1
open,387,58
open,404,74
closed,37,869
open,-218,7
open,-78,34
open,10,4647
open,-569,36
closed,20,2563
open,-104,15
closed,374,44
open,361,63
open,418,68
closed,63,345
open,-87,22
open,378,110
closed,357,39
closed,514,9
closed,6,2828
open,435,50
closed,146,283
closed,-160,2
open,-187,5
closed,89,261
closed,32,1413
open,-664,3
open,-370,1
open,-213,1
closed,229,155
closed,132,135
open,-59,47
open,209,153
closed,115,197
open,-410,5
open,-396,4
open,69,699
open,226,175
open,520,15
closed,215,66
closed,-286,1
open,29,2544
closed,-129,7
closed,255,72
open,480,90
open,-296,3
open,86,471
closed,198,76
closed,-72,24
open,537,28
open,-28,135
closed,298,63
open,43,1639
closed,241,53
open,-987,4
open,-11,649
closed,438,25
open,-68,24
open,354,121
open,-579,1
closed,-435,1
open,-191,2
open,548,9
open,97,493
closed,-181,3
open,565,21
closed,93,214
closed,-164,1
closed,-124,8
open,14,6586
closed,36,1151
open,-291,6
closed,-67,11
closed,136,174
closed,-50,34
open,-317,1
open,-63,46
open,-514,1
closed,359,76
open,142,240
open,-500,3
closed,-390,1
open,356,80
closed,459,23
closed,302,37
closed,-22,78
closed,402,33
open,256,321
open,216,172
closed,345,38
open,-32,111
closed,385,52
closed,485,7
open,624,1
closed,17,1718
closed,-31,107
open,598,4
open,47,991
closed,454,21
closed,554,1
open,64,716
open,358,47
closed,143,125
open,-635,1
open,21,4407
open,-13,321
closed,226,65
open,275,108
closed,-100,9
open,-507,1
open,389,48
closed,-126,9
closed,-577,1
open,249,140
closed,252,81
closed,352,77
closed,392,123
closed,295,67
open,-139,7
open,223,318
open,-165,1
closed,535,2
closed,378,55
open,574,12
open,534,14
open,-222,4
closed,478,23
open,140,327
open,434,191
open,491,39
closed,10,2168
closed,167,242
closed,-415,3
open,-525,1
open,-582,1
closed,-301,2
closed,584,4
open,-568,8
closed,-401,4
closed,527,11
closed,116,139
open,208,196
closed,59,342
open,422,86
closed,-90,13
closed,159,164
closed,-33,44
open,576,19
closed,553,6
open,-651,4
open,-200,2
open,-397,1
open,82,426
closed,-76,13
open,-383,1
closed,-59,20
closed,596,9
open,-523,1
open,99,454
open,450,30
open,156,194
open,-423,1
open,56,952
closed,268,33
open,507,33
open,16,3458
open,-155,5
closed,-299,1
closed,211,63
open,-309,2
open,-138,4
closed,311,42
open,581,12
open,384,182
closed,394,35
open,341,214
closed,494,26
open,398,102
open,-264,1
open,298,157
closed,26,1628
closed,183,195
open,-281,1
closed,126,211
open,609,10
open,-307,1
closed,520,19
closed,-140,8
open,372,74
open,215,162
closed,503,14
closed,-26,45
closed,152,143
closed,446,23
closed,192,203
closed,-66,18
closed,546,10
open,543,29
closed,-223,1
open,-841,1
closed,-9,208
closed,235,96
closed,335,51
closed,629,1
closed,-192,1
open,-556,1
open,6,9292
open,163,212
open,417,54
open,-359,2
open,474,76
open,317,130
open,-148,6
closed,401,46
open,374,209
open,-205,13
open,-114,26
closed,384,78
closed,227,146
closed,-101,6
open,-565,2
open,174,215
closed,170,69
closed,327,53
closed,427,33
open,-902,1
open,248,154
open,91,644
open,148,301
open,559,92
open,-648,1
open,205,242
open,-551,4
closed,453,68
closed,493,28
open,-223,5
open,-83,22
open,516,20
open,-240,11
closed,-16,92
open,476,61
closed,142,152
open,573,13
closed,85,280
closed,125,253
closed,576,4
closed,28,1402
open,433,34
open,-166,2
closed,225,80
open,39,1420
open,333,83
open,490,94
closed,11,2314
closed,208,49
open,350,149
open,-292,4
open,-349,1
open,13,5432
closed,-265,1
open,-81,32
