year,indicator,counts,n_items
2013,facebook,33,33
2014,facebook,33,19
2015,facebook,37,26
2017,facebook,37,23
2017,facebook,38,13
2013,facebook,39,17
2015,facebook,39,26
2018,facebook,39,7
2015,facebook,40,24
2016,facebook,40,19
2016,facebook,41,14
2018,facebook,41,5
2014,facebook,42,19
2017,facebook,43,16
2017,facebook,46,8
2018,facebook,46,3
2015,facebook,47,11
2018,facebook,48,4
2016,facebook,49,14
2012,facebook,52,5
2012,facebook,53,3
2012,facebook,55,3
2014,facebook,58,5
2016,facebook,58,6
2014,facebook,59,9
2017,facebook,59,2
2012,facebook,60,3
2014,facebook,60,7
2017,facebook,60,8
2015,facebook,61,8
2017,facebook,62,3
2012,facebook,63,2
2015,facebook,63,7
2018,facebook,63,2
2012,facebook,64,6
2013,facebook,65,1
2016,facebook,66,9
2012,facebook,70,2
2014,facebook,70,5
2012,facebook,71,2
2015,facebook,71,9
2018,facebook,72,1
2015,facebook,73,6
2014,facebook,75,6
2017,facebook,77,3
2014,facebook,78,3
2015,facebook,80,1
2015,facebook,81,3
2013,facebook,82,3
2014,facebook,83,4
2016,facebook,83,1
2012,facebook,86,3
2014,facebook,86,3
2017,facebook,86,1
2012,facebook,87,1
2014,facebook,87,3
2012,facebook,88,2
2017,facebook,88,1
2012,facebook,89,2
2015,facebook,89,3
2016,facebook,90,1
2018,facebook,91,1
2014,facebook,93,1
2014,facebook,94,3
2012,facebook,95,1
2012,facebook,96,2
2012,facebook,97,1
2015,facebook,97,1
2018,facebook,97,1
2013,facebook,98,3
2013,facebook,99,2
2016,facebook,99,3
2016,facebook,100,4
2014,facebook,101,1
2012,facebook,102,2
2017,facebook,102,2
2015,facebook,103,3
2012,facebook,104,2
2013,facebook,106,4
2013,facebook,108,1
2016,facebook,108,2
2018,facebook,108,2
2014,facebook,109,2
2014,facebook,110,3
2017,facebook,113,1
2013,facebook,114,2
2015,facebook,115,1
2013,facebook,116,1
2013,facebook,117,2
2014,facebook,119,1
2017,facebook,119,1
2014,facebook,120,1
2015,facebook,120,2
2013,facebook,125,1
2016,facebook,125,1
2014,facebook,128,1
2012,facebook,129,1
2013,facebook,130,1
2015,facebook,131,2
2013,facebook,133,1
2013,facebook,134,1
2014,facebook,135,1
2014,facebook,137,3
2017,facebook,137,1
2015,facebook,140,2
2016,facebook,141,1
2014,facebook,143,1
2014,facebook,144,2
2017,facebook,144,1
2012,facebook,145,1
2014,facebook,151,1
2012,facebook,153,2
2016,facebook,157,2
2013,facebook,159,1
2014,facebook,159,2
2015,facebook,162,2
2013,facebook,165,1
2013,facebook,166,2
2016,facebook,167,1
2016,facebook,174,1
2016,facebook,175,1
2012,facebook,177,1
2015,facebook,178,1
2017,facebook,179,1
2018,facebook,180,1
2012,facebook,181,1
2014,facebook,194,1
2014,facebook,204,1
2012,facebook,205,1
2017,facebook,213,1
2012,facebook,229,1
2014,facebook,236,1
2014,facebook,252,1
2013,facebook,284,1
2014,facebook,285,1
2012,facebook,289,1
2014,facebook,295,1
2014,facebook,320,1
2014,facebook,327,1
2014,facebook,337,1
2012,facebook,355,1
2013,facebook,359,1
2014,facebook,367,1
2012,facebook,373,1
2014,facebook,436,1
2014,facebook,453,1
2014,facebook,494,1
2017,facebook,502,1
2014,facebook,511,1
2012,facebook,529,1
2013,facebook,634,1
2012,facebook,822,1
2014,facebook,822,1
2013,facebook,858,1
2014,facebook,963,1
2014,facebook,1148,1
2014,facebook,1247,1
2013,facebook,1410,1
2015,facebook,0,1312870
2018,facebook,1,96817
2015,facebook,2,28150
2016,facebook,2,29423
2016,facebook,3,11483
2016,facebook,4,5750
2014,facebook,5,1821
2017,facebook,5,3614
2012,facebook,6,718
2014,facebook,6,1237
2012,facebook,7,535
2013,facebook,9,460
2016,facebook,12,364
2016,facebook,13,289
2017,facebook,13,310
2014,facebook,15,167
2017,facebook,15,233
2017,facebook,17,184
2012,facebook,18,73
2018,facebook,18,55
2013,facebook,19,85
2015,facebook,19,130
2014,facebook,21,75
2016,facebook,21,93
2014,facebook,24,64
2013,facebook,26,49
2018,facebook,28,15
2014,facebook,29,38
2014,facebook,30,24
2017,facebook,30,31
2014,facebook,31,37
2012,facebook,32,9
2012,facebook,33,16
2015,facebook,33,30
2015,facebook,34,41
2015,facebook,35,34
2016,facebook,36,18
2013,facebook,37,16
2014,facebook,37,24
2016,facebook,38,21
2016,facebook,39,20
2017,facebook,39,18
2012,facebook,40,9
2018,facebook,42,6
2012,facebook,43,7
2013,facebook,45,8
2018,facebook,45,5
2013,facebook,46,15
2012,facebook,49,3
2014,facebook,49,14
2012,facebook,50,4
2017,facebook,50,10
2016,facebook,52,6
2013,facebook,53,6
2014,facebook,54,7
2016,facebook,54,9
2016,facebook,55,8
2012,facebook,56,6
2012,facebook,57,3
2015,facebook,57,8
2015,facebook,58,7
2018,facebook,58,3
2013,facebook,60,7
2018,facebook,60,3
2013,facebook,61,10
2016,facebook,61,6
2016,facebook,62,5
2016,facebook,63,7
2014,facebook,64,4
2017,facebook,64,6
2012,facebook,65,3
2014,facebook,65,5
2017,facebook,65,4
2015,facebook,66,4
2017,facebook,67,3
2016,facebook,69,4
2013,facebook,70,3
2016,facebook,72,4
2017,facebook,72,1
2015,facebook,75,3
2017,facebook,75,4
2015,facebook,76,4
2016,facebook,78,6
2016,facebook,80,2
2014,facebook,82,3
2012,facebook,83,2
2017,facebook,83,3
2012,facebook,84,5
2013,facebook,84,1
2013,facebook,85,6
2013,facebook,88,1
2016,facebook,89,3
2017,facebook,92,3
2013,facebook,94,2
2013,facebook,95,4
2016,facebook,95,1
