type,timediff,n_items
hybrid,-639,6
hybrid,-268,1
hybrid,-245,1
hybrid,-244,4
hybrid,-236,1
hybrid,-228,1
hybrid,-161,1
hybrid,-121,7
hybrid,-71,1
hybrid,-69,1
hybrid,-61,4
hybrid,-52,1
hybrid,-45,2
hybrid,17,1
hybrid,27,2
hybrid,28,2
hybrid,67,2
hybrid,70,1
hybrid,71,1
hybrid,87,1
hybrid,95,1
hybrid,109,1
hybrid,110,1
hybrid,112,4
hybrid,118,2
hybrid,128,1
hybrid,143,5
hybrid,152,2
hybrid,159,1
hybrid,168,1
hybrid,170,4
hybrid,178,1
hybrid,186,2
hybrid,187,2
hybrid,194,1
hybrid,196,1
hybrid,203,3
hybrid,221,2
hybrid,234,5
hybrid,235,1
hybrid,237,3
hybrid,245,7
hybrid,252,1
hybrid,269,1
hybrid,287,2
hybrid,288,2
hybrid,296,2
hybrid,312,3
hybrid,326,3
hybrid,335,9
hybrid,337,3
hybrid,352,1
hybrid,353,1
hybrid,385,1
hybrid,395,3
hybrid,410,1
hybrid,420,1
hybrid,421,1
hybrid,430,1
hybrid,436,3
hybrid,446,2
hybrid,455,2
hybrid,461,2
hybrid,485,1
hybrid,512,1
hybrid,545,1
hybrid,577,1
hybrid,-2129,1
hybrid,-1935,1
hybrid,-1620,1
hybrid,-332,1
hybrid,-107,1
hybrid,-97,1
hybrid,-33,1
hybrid,24,1
hybrid,50,2
hybrid,55,2
hybrid,64,1
hybrid,82,1
hybrid,89,1
hybrid,91,1
hybrid,140,2
hybrid,148,2
hybrid,156,2
hybrid,163,2
hybrid,167,2
hybrid,174,1
hybrid,181,6
hybrid,183,1
hybrid,190,1
hybrid,208,2
hybrid,216,1
hybrid,223,2
hybrid,248,2
hybrid,256,3
hybrid,259,1
hybrid,275,8
hybrid,281,2
hybrid,297,1
hybrid,298,3
hybrid,309,1
hybrid,314,3
hybrid,316,1
hybrid,317,1
hybrid,333,3
hybrid,340,2
hybrid,341,1
hybrid,347,2
hybrid,358,3
hybrid,364,1
hybrid,372,1
hybrid,374,2
hybrid,383,1
hybrid,423,1
hybrid,426,3
hybrid,442,1
hybrid,490,1
hybrid,507,1
hybrid,516,2
hybrid,523,1
hybrid,543,1
hybrid,574,1
hybrid,609,3
hybrid,-2324,1
hybrid,-185,1
hybrid,-152,3
hybrid,-136,1
hybrid,-120,1
hybrid,-102,2
hybrid,-96,3
hybrid,-36,1
hybrid,-19,2
hybrid,-12,1
hybrid,-11,2
hybrid,-3,3
hybrid,10,1
hybrid,45,1
hybrid,51,1
hybrid,60,1
hybrid,61,3
hybrid,69,2
hybrid,77,2
hybrid,86,1
hybrid,92,11
hybrid,101,2
hybrid,103,1
hybrid,120,1
hybrid,154,2
hybrid,160,1
hybrid,184,5
hybrid,201,2
hybrid,204,1
hybrid,219,1
hybrid,228,2
hybrid,229,2
hybrid,243,4
hybrid,244,1
hybrid,246,1
hybrid,251,1
hybrid,253,2
hybrid,271,1
hybrid,276,4
hybrid,285,4
hybrid,294,1
hybrid,295,1
hybrid,303,2
hybrid,305,3
hybrid,320,4
hybrid,327,1
hybrid,329,1
hybrid,330,1
hybrid,344,5
hybrid,351,2
hybrid,354,2
hybrid,368,2
hybrid,378,1
hybrid,386,1
hybrid,387,1
hybrid,402,4
hybrid,419,1
hybrid,435,1
hybrid,445,1
hybrid,460,2
hybrid,479,1
hybrid,480,1
hybrid,486,2
hybrid,546,2
hybrid,-1826,1
hybrid,-609,1
hybrid,-491,1
hybrid,-483,1
hybrid,-432,3
hybrid,-425,6
hybrid,-407,1
hybrid,-98,1
hybrid,-74,1
hybrid,-48,1
hybrid,-31,3
hybrid,-22,1
hybrid,-21,1
hybrid,-14,1
hybrid,-7,1
hybrid,0,8
hybrid,5,1
hybrid,15,3
hybrid,73,1
hybrid,75,1
hybrid,80,1
hybrid,90,1
hybrid,107,1
hybrid,114,2
hybrid,115,2
hybrid,122,13
hybrid,132,1
hybrid,138,1
hybrid,166,1
hybrid,189,1
hybrid,191,2
hybrid,206,3
hybrid,214,7
hybrid,231,1
hybrid,240,2
hybrid,242,3
hybrid,250,2
hybrid,257,3
hybrid,264,1
hybrid,273,3
hybrid,282,1
hybrid,292,1
hybrid,300,2
hybrid,308,2
hybrid,325,4
hybrid,331,3
hybrid,365,6
hybrid,373,1
hybrid,375,3
hybrid,431,1
hybrid,456,2
hybrid,458,1
hybrid,484,1
hybrid,500,1
hybrid,508,1
hybrid,509,1
hybrid,533,1
hybrid,-4332,1
hybrid,-1766,1
hybrid,-269,1
hybrid,-103,1
hybrid,-60,1
hybrid,-51,1
hybrid,-29,7
hybrid,-20,2
hybrid,-18,1
hybrid,-10,2
hybrid,9,1
hybrid,19,2
hybrid,35,1
hybrid,36,1
hybrid,37,2
hybrid,52,1
hybrid,53,1
hybrid,54,1
hybrid,62,5
hybrid,76,2
hybrid,84,1
hybrid,85,1
hybrid,96,3
hybrid,117,1
hybrid,119,2
hybrid,126,2
hybrid,134,3
hybrid,136,2
hybrid,137,1
hybrid,145,2
hybrid,153,6
hybrid,161,2
hybrid,169,3
hybrid,171,1
hybrid,176,2
hybrid,210,1
hybrid,212,3
hybrid,218,1
hybrid,220,2
hybrid,262,1
hybrid,270,3
hybrid,286,2
hybrid,301,1
hybrid,304,5
hybrid,310,2
hybrid,311,2
hybrid,318,2
hybrid,319,1
hybrid,321,2
hybrid,328,2
hybrid,336,1
hybrid,363,5
hybrid,369,1
hybrid,379,2
hybrid,388,1
hybrid,394,3
hybrid,396,2
hybrid,405,2
hybrid,413,1
hybrid,454,1
hybrid,478,1
hybrid,547,3
hybrid,580,4
bronze,-3136,1
bronze,-662,3
bronze,-445,6
bronze,-326,6
bronze,-237,1
bronze,-220,1
bronze,-109,1
bronze,-103,1
bronze,-77,1
bronze,-29,1
bronze,-20,3
bronze,4,1
bronze,9,1
bronze,11,4
bronze,34,2
bronze,35,1
bronze,36,1
bronze,44,2
bronze,52,1
bronze,54,4
bronze,59,9
bronze,62,5
bronze,76,3
bronze,79,1
bronze,84,4
bronze,85,1
bronze,93,2
bronze,111,2
bronze,117,7
bronze,129,1
bronze,134,5
bronze,137,1
bronze,144,2
bronze,145,4
bronze,153,8
bronze,161,1
bronze,162,2
bronze,169,1
bronze,176,6
bronze,188,2
bronze,195,5
bronze,212,5
bronze,218,4
bronze,220,1
bronze,262,3
bronze,270,1
bronze,278,1
bronze,279,1
bronze,286,1
bronze,293,4
bronze,301,3
bronze,304,4
bronze,310,6
bronze,318,4
bronze,319,6
bronze,321,4
bronze,328,1
bronze,336,2
bronze,345,2
bronze,346,1
bronze,355,4
bronze,363,1
bronze,379,1
bronze,394,5
bronze,396,1
bronze,405,1
bronze,413,2
bronze,427,2
bronze,429,1
bronze,437,1
bronze,478,1
bronze,547,2
bronze,553,1
bronze,580,2
bronze,587,2
bronze,-13975,1
bronze,-355,1
bronze,-328,1
bronze,-294,1
bronze,-276,13
bronze,-213,5
bronze,-152,1
bronze,-136,1
bronze,-135,1
bronze,-68,1
bronze,-19,1
bronze,-17,1
bronze,-12,5
bronze,-11,4
bronze,-9,1
bronze,-3,2
bronze,10,2
bronze,20,6
bronze,29,4
bronze,43,2
bronze,45,2
bronze,51,1
bronze,60,2
bronze,61,7
bronze,92,2
bronze,101,1
bronze,103,5
bronze,120,4
bronze,121,6
bronze,127,5
bronze,146,4
bronze,151,1
bronze,154,3
bronze,177,6
bronze,184,6
bronze,185,3
bronze,193,9
bronze,201,1
bronze,202,3
bronze,204,2
bronze,209,6
bronze,226,11
bronze,228,2
bronze,229,2
bronze,243,2
bronze,244,1
bronze,246,4
bronze,251,2
bronze,254,5
bronze,260,4
bronze,261,3
bronze,271,7
bronze,276,4
bronze,285,3
bronze,294,1
bronze,295,3
bronze,302,2
bronze,305,1
bronze,313,2
bronze,320,2
bronze,327,3
bronze,329,3
bronze,330,5
bronze,344,3
bronze,351,4
bronze,354,4
bronze,360,2
bronze,361,3
bronze,370,2
bronze,387,1
bronze,403,1
bronze,412,3
bronze,428,1
bronze,438,1
bronze,452,1
bronze,460,1
bronze,479,1
bronze,488,1
bronze,-13434,1
