type,timediff,n_items
closed,507,179
open,-351,22
open,385,1324
closed,-521,4
open,-277,32
closed,-464,7
open,245,1764
closed,196,1521
closed,39,6040
open,-688,18
open,-320,66
open,596,110
closed,-1015,4
open,-360,12
open,-828,1
closed,122,2026
closed,-153,111
closed,-1055,1
open,-560,7
open,-263,26
open,-303,39
closed,165,1495
closed,-179,67
open,-92,621
closed,-630,5
open,627,53
closed,-590,2
open,-897,1
open,430,756
closed,-279,8
open,487,375
open,-586,6
open,-880,1
closed,-319,11
open,-35,1286
closed,388,490
closed,-713,4
closed,291,855
open,-472,16
closed,331,693
open,-61,595
open,-669,5
open,-529,47
closed,-345,15
open,-980,3
open,461,870
open,-201,49
closed,-445,4
closed,-288,24
open,67,5408
open,-555,9
open,-1006,2
open,-161,67
open,-4,4813
open,-455,28
open,-612,1
open,-695,38
open,221,2033
open,-244,52
closed,-831,1
closed,38,6455
open,-136,1025
open,443,644
open,403,867
open,246,1566
closed,-757,2
open,-276,30
open,303,1301
open,460,564
open,-119,402
closed,532,120
closed,375,455
closed,-52,587
open,360,1072
open,-753,6
open,-613,4
closed,221,967
open,260,1394
closed,-389,7
closed,164,1499
closed,-78,377
open,120,3132
closed,204,1272
open,-796,1
closed,-21,1060
closed,598,61
closed,304,947
open,177,1644
closed,147,1921
closed,187,1450
open,528,292
open,77,5304
open,371,1237
closed,581,124
open,-622,13
open,428,824
open,-171,72
open,-762,4
open,-468,20
open,445,618
closed,624,51
open,-311,60
closed,-244,33
open,502,468
open,51,7400
closed,-227,32
open,305,1400
closed,156,1447
closed,313,686
open,-43,1011
closed,-30,950
closed,-638,5
open,402,877
closed,-581,2
closed,296,900
closed,199,1399
open,419,963
open,-831,3
closed,396,531
open,-888,4
open,-520,13
closed,-253,18
closed,322,796
open,-1465,1
open,-152,190
closed,-747,8
open,-12,2426
open,-463,35
closed,-436,2
closed,-847,1
open,193,1915
closed,-830,1
open,-646,16
open,604,127
open,447,637
closed,-1241,1
closed,-479,10
closed,408,550
open,-546,8
closed,-422,16
closed,-873,2
closed,548,113
closed,-11,1683
open,-221,28
open,127,2967
open,-1123,1
open,-712,6
closed,-111,287
open,184,1953
closed,-94,484
open,-572,9
open,-769,8
closed,-505,2
open,438,647
closed,23,12135
closed,474,374
closed,-799,1
open,535,300
closed,-37,791
closed,-194,11
closed,-488,5
open,495,976
closed,123,2355
open,-1206,1
closed,-431,2
closed,614,30
closed,-137,146
closed,517,227
open,552,314
open,-204,125
open,-655,1
closed,557,145
closed,106,2172
closed,-531,3
closed,-982,2
open,295,1479
open,452,561
closed,-277,11
open,-487,10
open,-330,33
open,-76,441
closed,-63,616
open,-978,1
closed,289,1197
closed,-303,15
open,229,1833
open,-1472,1
open,-1021,1
closed,-403,12
open,-921,1
open,-19,1401
closed,372,497
open,-102,326
closed,-346,20
closed,472,205
open,597,110
open,146,2772
closed,21,15091
open,243,1322
closed,-386,5
open,497,1926
closed,-35,758
open,-185,66
closed,4,46093
open,-636,6
closed,358,552
closed,-18,1040
open,103,3957
open,-496,43
closed,-469,3
closed,-272,11
closed,-429,2
open,160,2598
closed,341,588
closed,47,4764
closed,-372,10
closed,-980,2
open,-679,12
open,60,6556
open,-990,2
open,-128,266
open,20,24502
closed,481,359
closed,324,910
open,-251,108
closed,-395,8
open,-111,360
closed,424,405
open,271,1628
open,-294,83
open,-645,14
open,228,1912
closed,-381,23
closed,56,4687
closed,96,2696
open,285,1644
closed,450,401
open,-1082,1
closed,-110,220
open,-1139,1
open,-1296,1
closed,139,2005
closed,433,508
open,302,1263
closed,-53,632
closed,179,1346
closed,533,136
open,202,1825
closed,279,779
closed,-447,9
closed,-136,166
open,219,1644
open,513,501
closed,-96,351
closed,-547,12
closed,-704,2
open,-714,12
open,-871,4
open,570,196
open,276,1659
open,-460,28
open,-9,2281
closed,-122,302
closed,305,1010
open,-503,21
open,-135,264
closed,-222,23
open,387,966
open,-486,13
closed,-262,11
open,-923,1
closed,37,6321
open,-218,47
open,404,1065
closed,-813,1
open,-78,477
open,-569,68
open,10,37120
closed,20,14634
closed,374,501
open,361,1216
open,-104,210
closed,-388,10
closed,-839,5
open,418,1073
closed,514,219
open,272,1527
closed,209,1280
closed,52,4184
closed,-477,3
closed,603,106
open,-250,57
open,289,1465
closed,95,2874
open,-390,44
closed,135,1895
closed,292,799
open,-233,33
closed,78,3186
open,49,8278
closed,178,1657
closed,-700,5
open,106,3554
closed,-349,37
open,-105,268
open,-1007,8
open,-8,2514
closed,-1037,1
open,63,6803
open,-599,6
closed,361,596
closed,-332,21
open,531,432
open,-656,6
closed,-275,23
open,334,1422
closed,-432,1
closed,-726,1
closed,638,10
open,274,1511
closed,-398,8
closed,-809,5
closed,467,304
closed,16,15160
closed,370,517
open,-508,10
open,-140,150
closed,410,438
open,-297,30
open,599,115
open,108,3088
open,-197,54
open,8,54011
open,459,595
open,-183,81
closed,42,6250
closed,-73,534
open,-674,15
closed,436,409
open,-280,44
closed,-607,1
open,376,1003
closed,536,171
closed,379,511
open,-266,36
closed,-1018,2
open,-874,2
open,22,22917
open,-323,54
closed,479,242
closed,-961,1
open,-249,31
closed,-493,3
closed,-139,132
closed,619,63
closed,-1338,2
open,390,1020
closed,111,2178
closed,151,1551
open,-38,1145
open,-489,5
closed,-125,261
closed,-733,4
open,307,1349
closed,-519,9
closed,194,1242
open,267,1558
open,-532,17
closed,-365,27
