country,type,items,blogs,facebook,news,policies,twitter,wikipedia
VA,closed,9,0,1,0,0,4,1
VC,open,1,0,0,0,0,0,0
VC,closed,6,0,0,0,0,3,0
VE,open,808,26,90,25,5,330,11
VE,closed,1670,18,77,16,5,420,31
VN,open,3205,102,255,74,50,1111,34
VN,closed,7542,87,241,45,33,1013,39
VU,open,8,1,3,0,0,5,0
VU,closed,33,6,3,1,2,7,2
WS,open,3,0,0,0,1,1,0
WS,closed,14,1,3,0,2,6,0
YE,open,147,4,15,3,5,50,3
YE,closed,354,9,21,1,2,71,2
ZA,open,21398,1234,2846,992,493,9278,466
ZA,closed,27961,1462,2233,628,300,9158,400
ZM,open,400,22,56,18,20,259,8
ZM,closed,256,9,23,7,12,105,1
ZW,open,430,22,53,28,16,218,1
ZW,closed,760,28,55,16,22,239,7

